Movie_Name,Rating,Total_Numberof_Rating,Metascore,Runtime,Year,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,Horror,Mystery,Romance,Sci-Fi,Sport,Thriller,War
Spider-Man: No Way Home,8.2,967000,71,148,2021,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Spiral,5.2,74000,40,93,2021,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Spirit Untamed,5.5,5200,49,88,2021,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Stanleyville,4.7,245,51,89,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Stillwater,6.6,62000,60,139,2021,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
Stop and Go,6.1,650,50,80,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Stowaway,5.7,55000,63,116,2021,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Strawberry Mansion,6.5,2900,74,91,2021,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
Street Gang: How We Got to Sesame Street,8,1500,82,107,2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Superior,5.4,450,59,99,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Swan Song,6.8,19000,66,116,2021,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
Swan Song,7,3900,65,105,2021,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Sweet Girl,5.5,37000,46,110,2021,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Ted K,6,4700,70,120,2021,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
The Addams Family 2,5.4,17000,37,93,2021,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0
The Beta Test,6.1,7000,72,93,2021,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
The Birthday Cake,4.4,2100,58,93,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
The Black Phone,6.9,231000,65,103,2021,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
The Blazing World,4.4,811,33,101,2021,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
The Boss Baby: Family Business,5.9,25000,39,107,2021,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
The Box,6.6,920,80,92,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Card Counter,6.2,46000,78,111,2021,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
The Cathedral,6.2,677,82,87,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Conjuring: The Devil Made Me Do It,6.3,153000,53,112,2021,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
The Cursed,6.2,21000,62,111,2021,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
The Desperate Hour,4.9,8600,35,84,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Dig,7.1,87000,73,112,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Djinn,4.8,5200,59,82,2021,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
The Exorcism of God,5.3,5900,41,98,2021,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
The Eyes of Tammy Faye,6.6,41000,55,126,2021,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The Fabulous Filipino Brothers,6,431,69,99,2021,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
The Fallout,7,40000,84,96,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Forever Prisoner,7.4,955,75,119,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Forever Purge,5.4,47000,53,103,2021,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
The Forgiven,6.1,11000,59,117,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The French Dispatch,7.1,161000,75,107,2021,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
The Gateway,4.9,1400,58,91,2021,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0
The God Committee,5.8,4800,48,98,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Good House,6.4,3500,62,104,2021,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
The Green Knight,6.6,127000,85,130,2021,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
The Guilty,6.3,165000,63,90,2021,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
The Hand of God,7.3,53000,76,130,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Harder They Fall,6.6,75000,68,139,2021,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Humans,6.1,12000,78,108,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Ice Road,5.6,53000,42,109,2021,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
The King's Man,6.3,189000,44,131,2021,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
The Kissing Booth 3,4.8,25000,36,112,2021,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
The Last Duel,7.3,198000,67,152,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
The Last Letter from Your Lover,6.7,24000,57,110,2021,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The Last Thing Mary Saw,5.1,2000,52,89,2021,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
The Last Victim,5,1200,34,112,2021,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
The Little Things,6.3,135000,54,128,2021,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
The Loneliest Whale: The Search for 52,6.5,561,67,96,2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lost Daughter,6.7,79000,86,121,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Lost Leonardo,7.5,3100,79,96,2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Manor,5.3,8300,59,81,2021,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
The Many Saints of Newark,6.3,67000,60,120,2021,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
The Map of Tiny Perfect Things,6.8,32000,61,98,2021,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
The Marksman,5.7,47000,44,108,2021,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
The Matrix Resurrections,5.6,296000,63,148,2021,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Mauritanian,7.5,69000,53,129,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
The Misfits,4.5,15000,25,94,2021,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
The Mitchells vs. the Machines,7.6,137000,81,114,2021,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0
The Novice,6.5,7600,85,97,2021,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
The Power,5.5,6200,60,92,2021,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
The Power of the Dog,6.8,201000,89,126,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The ProtÃ©gÃ©,6.1,41000,48,109,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
The Protégé,6.1,41000,48,109,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Rescue,8.3,22000,84,107,2021,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
The Retaliators,5.3,2600,48,95,2021,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
The Same Storm,6.3,100,69,99,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Scary of Sixty-First,4.5,2600,48,81,2021,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0
The Seventh Day,4.5,6000,43,87,2021,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
The Souvenir: Part II,7.1,4700,90,107,2021,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The Sparks Brothers,7.8,6400,80,140,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Spine of Night,6.4,3300,58,93,2021,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0
The Starling,6.4,16000,31,102,2021,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
The Suicide Squad,7.2,439000,72,132,2021,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
The Survivor,6.7,6900,71,129,2021,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
The Tender Bar,6.7,36000,53,106,2021,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The Tomorrow War,6.6,244000,45,138,2021,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
The Tragedy of Macbeth,7.1,43000,87,105,2021,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
The Unforgivable,7.1,125000,41,112,2021,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
The Unholy,5.1,30000,36,99,2021,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
The United States vs. Billie Holiday,6.3,15000,52,126,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Vault,6.4,34000,50,118,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Virtuoso,5,10000,24,110,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Voyeurs,6.1,43000,54,116,2021,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
The Wheel,6,318,65,83,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The White Tiger,7.1,68000,76,125,2021,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
The Witcher: Nightmare of the Wolf,7.2,54000,67,83,2021,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0
The Woman in the Window,5.7,87000,41,100,2021,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
The Year of the Everlasting Storm,5.7,382,72,115,2021,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
There's Someone Inside Your House,4.9,21000,45,96,2021,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Things Heard & Seen,5.3,39000,49,121,2021,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
Those Who Wish Me Dead,6,77000,59,100,2021,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Thunder Force,4.6,47000,34,106,2021,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0
Till Death,5.9,30000,66,91,2021,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
To All the Boys: Always and Forever,6.3,37000,65,116,2021,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Together,6.2,5200,59,92,2021,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Together Together,6.4,9800,70,90,2021,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Tom & Jerry,5.3,42000,32,101,2021,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
Ultrasound,5.8,1900,55,103,2021,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Under the Stadium Lights,3.9,514,31,109,2021,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
V/H/S/94,5.5,16000,63,103,2021,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
Vacation Friends,6.3,33000,49,103,2021,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Vanquish,3,5600,22,94,2021,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Venom: Let There Be Carnage,5.9,292000,49,97,2021,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Violet,5.9,1600,61,92,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Vivo,6.7,23000,66,95,2021,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
Voodoo Macbeth,5.9,126,45,108,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Voyagers,5.5,29000,44,108,2021,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
Warning,4.6,6400,53,86,2021,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
We Are Living Things,5.2,160,65,96,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
We Broke Up,5.2,1500,53,80,2021,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
We Need to Do Something,4.5,4200,48,97,2021,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
We're All Going to the World's Fair,5.4,8100,78,86,2021,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Werewolves Within,6,28000,66,97,2021,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
West Side Story,7.1,103000,85,156,2021,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
What Josiah Saw,6.2,5000,70,120,2021,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
When I Consume You,5,485,75,92,2021,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Wild Indian,5.8,1800,74,90,2021,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
Willy's Wonderland,5.5,42000,44,88,2021,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Wish Dragon,7.2,37000,59,98,2021,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0
Without Remorse,5.8,69000,41,109,2021,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Women Is Losers,6,435,59,84,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Woodlands Dark and Days Bewitched: A History of Folk Horror,7.6,2000,80,194,2021,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Wrath of Man,7.1,228000,57,119,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Wrong Turn,5.6,40000,46,109,2021,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Yakuza Princess,4.8,2700,34,111,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Yes Day,5.7,33000,46,86,2021,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
You Resemble Me,6.9,417,69,91,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zack Snyder's Justice League,7.9,461000,54,242,2021,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Zeros and Ones,3.3,3300,61,87,2021,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
Zone 414,5.1,5900,36,98,2021,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0
"tick, tick... BOOM!",7.5,126000,74,115,2021,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
13: The Musical,5.2,1200,57,91,2022,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1992,5.7,3800,44,97,2022,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A Christmas Story Christmas,6.7,20000,55,98,2022,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
A Couple,5.5,210,74,63,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A Jazzman's Blues,6.8,4700,62,127,2022,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
A Lot of Nothing,4.4,624,55,104,2022,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
A Love Song,6.7,2500,78,81,2022,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A Man Called Otto,7.5,197000,51,126,2022,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
A Perfect Pairing,6.1,19000,55,101,2022,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
A Wounded Fawn,5.4,4000,75,91,2022,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Abandoned,3.8,4300,38,102,2022,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Adult Swim Yule Log,6.3,1700,67,91,2022,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Aftersun,7.6,118000,95,102,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aisha,6.6,1100,81,94,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Alice,5.6,3600,47,100,2022,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"Alice, Darling",5.6,14000,65,89,2022,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
All Jacked Up and Full of Worms,4.5,391,49,72,2022,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
All Quiet on the Western Front,7.8,280000,76,148,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
All the Old Knives,6.1,31000,62,101,2022,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Allswell in New York,5.5,196,62,95,2022,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Alone Together,5.4,2000,52,98,2022,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Along for the Ride,6.2,10000,55,106,2022,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Am I OK?,6.1,12000,72,86,2022,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Ambulance,6.1,109000,55,136,2022,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
American Dreamer,6,2500,53,98,2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
American Pain,7.2,579,72,106,2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Amsterdam,6.1,101000,49,134,2022,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
Anything's Possible,5.8,1900,62,99,2022,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Apollo 10?: A Space Age Childhood,7.2,13000,79,97,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Apollo 10陆: A Space Age Childhood,7.2,13000,79,97,2022,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Argentina, 1985",7.6,35000,78,140,2022,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Aristotle and Dante Discover the Secrets of the Universe,7.2,3200,69,98,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Armageddon Time,6.4,17000,74,114,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
As They Made Us,5.8,2000,61,100,2022,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Avatar: The Way of Water,7.5,541000,67,192,2022,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Baby Ruby,4.7,3900,57,93,2022,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Babylon,7.1,197000,61,189,2022,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Barbarian,7,229000,78,102,2022,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Beast,5.6,47000,54,93,2022,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
Beauty,4.1,907,42,95,2022,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Beavis and Butt-Head Do the Universe,7,14000,70,87,2022,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Better Nate Than Ever,6.4,3200,66,94,2022,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Big Gold Brick,3.4,1600,30,132,2022,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Biosphere,5.5,2900,59,106,2022,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0
Bitch Ass,4.1,888,60,85,2022,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0
Black Adam,6.2,296000,41,125,2022,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Black Ice,6.3,383,82,96,2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Black Panther: Wakanda Forever,6.6,338000,67,161,2022,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Blacklight,4.9,27000,27,104,2022,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Blonde,5.4,76000,50,167,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Blood,5.5,5700,55,108,2022,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Blood Relatives,5.5,984,69,88,2022,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Bodies Bodies Bodies,6.2,85000,69,94,2022,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
Bones and All,6.8,68000,74,131,2022,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Book of Love,5.5,4200,44,106,2022,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Brahmastra Part One: Shiva,5.6,114000,57,167,2022,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Breaking,6.3,10000,66,103,2022,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Bros,6.3,38000,72,115,2022,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Bruiser,6.2,935,81,97,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bullet Train,7.3,502000,49,127,2022,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Butcher's Crossing,5.6,6800,55,105,2022,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Butter,5.9,944,45,111,2022,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Call Jane,6.5,7000,62,121,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Candy Land,5.3,4400,70,93,2022,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Catherine Called Birdy,6.6,9300,74,108,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Causeway,6.6,26000,66,94,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cha Cha Real Smooth,7.3,30000,69,107,2022,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Chariot,3.6,787,43,94,2022,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
Cheaper by the Dozen,4.6,7200,42,107,2022,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Cherry,5.6,340,64,76,2022,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Chevalier,6.5,7700,67,108,2022,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Chip 'n Dale: Rescue Rangers,6.9,50000,66,97,2022,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0
Christmas Bloody Christmas,5.1,6400,46,86,2022,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Christmas with You,5.6,8300,39,89,2022,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Christmas with the Campbells,5.4,2400,56,88,2022,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Clerks III,6.2,21000,50,100,2022,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Confess, Fletch",6.4,26000,64,98,2022,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Corner Office,6.1,6500,47,101,2022,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Country Gold,6.9,78,61,84,2022,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Crush,6.3,11000,56,93,2022,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
DC League of Super-Pets,6.8,79000,56,105,2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DC League of Super-Pets,7,80000,56,105,2022,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0
Daliland,5.9,2900,59,97,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Darby and the Dead,5.6,1700,51,100,2022,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
Day Shift,6.1,96000,51,113,2022,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
Dead for a Dollar,5.4,7400,61,107,2022,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Deadstream,6.4,21000,67,87,2022,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Death on the Nile,6.3,203000,52,127,2022,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Deep Water,5.5,67000,53,115,2022,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0
Delia's Gone,5,612,40,90,2022,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
Devotion,6.6,31000,66,139,2022,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Disenchanted,5.6,29000,50,119,2022,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0
Do Revenge,6.3,55000,66,118,2022,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Doctor Strange in the Multiverse of Madness,6.9,523000,60,126,2022,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Dog,6.5,50000,61,101,2022,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Don't Make Me Go,6.7,4000,54,109,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Don't Worry Darling,6.3,168000,48,123,2022,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Door Mouse,5.5,704,64,101,2022,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Downton Abbey: A New Era,7.4,35000,63,124,2022,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Dreamin' Wild,6.4,1600,64,111,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dual,5.8,14000,62,94,2022,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
Easter Sunday,5.3,3000,41,96,2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Elvis,7.3,253000,64,159,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Emancipation,6.3,30000,53,132,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Emergency,6.2,10000,73,105,2022,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Emily,6.8,9500,75,130,2022,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Emily the Criminal,6.7,65000,75,97,2022,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
Empire of Light,6.7,26000,54,115,2022,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
End of the Road,4.8,9500,44,89,2022,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
Enola Holmes 2,6.8,112000,64,129,2022,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0
Escape the Field,4.5,5300,39,89,2022,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Everything Everywhere All at Once,7.8,588000,81,139,2022,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0
Facing Nolan,7.9,2000,73,102,2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fall,6.4,126000,62,107,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Falling for Christmas,5.3,32000,40,93,2022,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Family Squares,5.4,308,54,95,2022,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Fantastic Beasts: The Secrets of Dumbledore,6.2,186000,47,142,2022,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Father Stu,6.5,35000,40,124,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Father of the Bride,5.9,14000,65,117,2022,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Final Cut,6.4,5300,51,112,2022,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Fire Island,6.7,15000,72,105,2022,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Firestarter,4.6,25000,32,94,2022,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
Fistful of Vengeance,4.4,7900,44,96,2022,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Flux Gourmet,5.8,3500,79,111,2022,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
Four Samosas,5.6,308,58,80,2022,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Fourth of July,6.7,2400,40,90,2022,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Freedom on Fire: Ukraine's Fight for Freedom,7,126,70,116,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fresh,6.7,87000,67,114,2022,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
Funny Pages,6.2,4200,73,86,2022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
